,company,subject,date,description
75,Starken ,Demora en la entrega ,2019-10-18,Una  *****a  de servicios....es mejor Chilexpress son más rápido seguro serio y comprometidos en su trabajo....Starken es la misma  *****a  que el TurBus ....solo que le cambiaron el nombre 
76,Rappi,Rappi no entregó el pedido completo,2019-10-18,"Acabo de pedir 3 castas de helados de 1 litro cada una y el Rappi solo me paso 1 casata, como mande a mi hermana a buscarla no se percató que yo había pedido 3 y no sólo 1, quien se hace responsable de que el Rappi me Robó 2 casatas? "
77,Caja de compensación los héroes,No dan crédito social,2019-10-18,"Estimados, buenas tardes.Escribo en representación de la empresa a la que pertenezco, hace un año hice los trámites para afiliarnos a Caja Los Héroes a pedido de los trabajadores, tenemos fecha de afiliación del 29/10/2018. Lo que más querían mis compañeros era estar afiliados para obtener beneficios en entretención, salud, centros vacacionales pero por sobretodo para conseguir crédito cuando lo necesitaran, ya que la mayoría de ellos no son personas bancarizadas, no tienen grandes sueldos ni propiedades a su nombre.La primera vez que un trabajador se acercó a una sucursal para preguntar, le dijeron que debía esperar hasta septiembre del año 2019 para ver la evaluación de un crédito, ya que la empresa llevaba muy poco tiempo afiliada... La segunda vez que otro trabajador se acercó, le dijeron lo mismo. Ya vamos a cumplir un año con esta CCAF, ya tenemos la supuesta ""antiguedad"", pero ayer nuevamente le rechazaron la solicitud de crédito a otro trabajador. Llamé por teléfono para pedir una respuesta, y me indican que le rechazaron el crédito porque lo más probable es que LA EMPRESA ESTÉ TENIENDO PROBLEMAS CON SU DINERO, que esté atrasada en pagar alguna deuda, etc, raro, porque todas las cotizaciones y obligaciones tributarias están al día.Otra cosa, se me ocurrió preguntar cuánto era el tiempo mínimo de afiliación para obtener un crédito de trabajador, porque en principio nos dijeron que era de 11 meses para nosotros... y al final me contestaron que ninguno, no hay un tiempo determinado, entonces estuvimos 12 meses regalando el dinero del pago de las cotizaciones a esta caja ¿y para qué?¿Qué tienen que ver los antecedentes de la empresa, si el beneficio es para el trabajador?¿No les parece que es algo tremendamente injusto?¿Estamos tratando con una CCAF o con un BANCO? "
78,Paris,Falso servicio de armado de muebeles,2019-10-18,"Estimados, Compre un mueble con Armado (ambos pagaPos al momento de la compra). Al comprar telefónicamente el vendedor me indica que cuando me llegue el mueble debo coordinar con Paris el armado, llega el mueble y la persona que lo lleva no tiene idea y dice que no es con él, luego llamo a servicio al cliente Paris/armado y me dicen que debo pagar $ 1500 por el traslado de la persona que armará el mueble, a lo que yo digo que ya está pagado, pero mi sorpresa al decir esto es que la persona que me atiende dice que le consultará a su monitora y la Sra Jessica Bahamondes responde que si no me gusta entonces que elimine el despacho (cero preocupación por el problema, que el cliente se haga cargo y no compre en Paris... ese fue el mensaje que leo de su respuesta)... la persona que me atiende intenta ayudar y me da 2 números de teléfono a los que llamar, llamo al primero es de una empresa mayday (creo) y me dice que no es con ellos... llamo al otro número (yardas) la primera pregunta es cuantas cajas tiene el mueble (4 o 5 respondo) y me dice que si no se el numero de cajas no va a ir a perder el viaje (el tiempo, que tal la respuesta,  que horror)... y luego me dice que el Armado debo pagar $12.500 a la persona que va a ir y eso me lo debieran haber dicho en Paris, yo le comento que ya lo tengo pagado y ella me dice entonces que debo hablar con paris... conclusión vuelvo al INICIO... de verdad estoy sorprendida por decir lo menos de este MAL, PESIMO servicio de Paris nunca mas compro muebles ahi.... y ojala nada que pueda..saludos "
79,Estado de chile ,Alzas de: pasajes metro y mucho mas.,2019-10-18,"Hoy vemos como los jóvenes están protestando por las alzas del metro.Argentina el valor del TKT es de un tercio,lo mismo en otros países de la región.En Chile se paga valores de locomoción similares  países Europeos, pero los chilenos no ganan lo que se gana en estos Países.Chile País injusto en: Salud ,Educación,Jubilaciones,Chile País infeliz ; según estudio reciente.Y el Estado no hace nada nunca, ni los gobiernos de turno de izquierda y derecha una pena. "
80,Pedidos ya,Cancelan pedido y cobran igual,2019-10-18,"compre con mi tarjeta de credito un pedido,el cual me cancelaron y el cobro lo realizaron,igual no corresponde ,uno no trabaja para regalar su dinero a empresas que no dan la cara por ultimo deberian dar el credito de vuelta para volver a comprar,pero no lo hacenNO COMPREN EN Pedidos Ya SON UNOS  *******s  ESCONDIDOS DETRAS De UN ESCRITORIO "
81,Caja los andes,No cumplimiento de crédito pactado,2019-10-18,"A mediados de agosto Caja los andes lanzo un crédito con una tasa preferencial de 0.99 el cual lo tome y según lo que habías pactado mi cuota iba a hacer por un monto y ademas tenia 3 meses de gracias y después me encuentro que a mi cuota ya le habían sumado 1674 pesos por cada cuota y en total seria 105840 pesos de mas que no estaban pactado y además tampoco se iban  a respetar los 3 meses de gracias, es decir en este mes me descontarían ya faltando un mes como lo pactado.Hoy me presento en caja los andes después de varios correos tratando de que me respondieran y la muchacha Yennifer Aldea me indica que ella no puede hacer nada. Como se demoraron en tramitar el crédito subió por el interes y además que lo tuvieron que bajar los meses de gracias porque sino ya no correspondería, algo que veo ilógico que el trabajor tenga que pagar el mal trabajo de la caja de compensación que se supone que estan creadas para prestarle servicios a los trabajadores. "
82,Particular,Venta de helado sin hingieneparticular,2019-10-18,En Av tronval 696 se rraliza. Venta de.helqdo.en barquillo sin ninguna seguridad. de hingiiene y juguetes los cuales funcionan de fachada para la. Venta de drogas los cuales viven en los departamentos # 21 y 33 de Av. Troncal 696 y al mismo tiempo contaminación acústica x el cual no tienen respeto con la personas siendo está la música de volumen muy elevado 
83,Linio,Reembolso,2019-10-18,"Espere mi pedido y nunca llegó. Ahora me dicen que lo cancelaron, el asunto es que canjeé con cupón de CMR puntos y ahora al parecer perdí esos puntos (bastantes) y solo le reembolsarán la diferencia.Necesito una respuesta directa y no marcar opciones en su calle centre. "
84,Ripley,Amenazas judiciales,2019-10-18,"Buenas tardes. Hoy, recibí un correo electrónico de parte de una empresa de cobranza de nombre SERCOAC. Amenazado con acciones Judiciales como embargo y elevar antecedentes a DICOM por no pago de crédito. El caso es que hace más de 12 años que no mantengo tarjeta con la referida tienda comercial. Lo anterior da cuenta del incumplimiento de la norma por parte de estas empresas. "
85,Visión mundial intern chile,No quiero donar más,2019-10-18,"Me siento engañado por esta empresa la cual no me identifica y quiero salirme, Ruego de manera URGENTE desvincular me totalmente. Mi rut es 18593892-1 me llamo Álvaro Rojas. "
86,Scotiabank ,Llamadas reiteradas ,2019-10-18,"El Banco Scotiabank llama varias veces al día para ofrecer créditos, pese a no estar interesada y manifestarlo siguen insistiendo. "
87,Intendenta region metropolitana,No escucha ni da audiencia a ciudadanos,2019-10-18,"Intendenta región metropolitana, Sra. Carla Rubilar Barahona.Señores, los vecinos y comerciantes del sector alameda entre plaza Italia y palacio de la moneda hemos reclamado a la intendencia región metropolitana Sra. Carla Rubilar reiteradamente por años por el injusto y fatal hecho que la Sra. Rubilar  autoriza todas las marchas, protestas, maratones, carnavales, festejos y todo tipo de acto público organizado por la ciudadanía  siempre en el mismo sector (alameda entre plaza Italia y casa de la moneda) afectando siempre a los mismos vecinos y comerciantes del mismo sector, los que tenemos que  ver con gran impotencia, rabia  e indignación como algunos manifestantes rompen los paraderos de buses, sacan de cuajo las paletas informativas de los paraderos de buses, sacan y rompen los basureros, rayan nuestros edificios y  los de propiedad pública, como si todo esto fuese poco además  tenemos que soportar la toxicidad los gases lacrimogenos,  la bulla infernal de cientos de tambores, pitos, música, gritos, no podemos estacionar nuestros vehículos  en nuestros edificios por los desvíos, etc., etc., etc.Cabe señalar que los vecinos y comerciantes del sector hemos pedido una audiencia con la Sra. Rubilar una y otra vez por años a través de la página, pero esta al solicitar la audiencia pregunta el motivo de la solicitud, al mencionar el tema a plantear y  conversar nos llega siempre como respuesta que la Sra Rubilar no nos puede recibir por un tema de agenda.    Esto es realmente inconcebible e inaceptable la gran falta de respeto de la Intendenta Carla Rubilar siempre con los mismos vecinos y peor aún el hecho de que ni siquiera tenga la deferencia de recibirnos para conversar personalmente este gran problema que nos afecta y tiene realmente desesperados y con angustia hace muchos años sin que ninguna autoridad de gobierno pertinente nos escuche y tome medidas al respecto. "
88,Municipalidad de lampa,5 meses esperando la inscripción de mascota,2019-10-18,"Estimados.Estoy Esperando hace mas de 5 Meses que registren a mi mascota. Aún no puedo tener el certificado. Por otra parte, encuentro ilógico que tengan teléfonos de atención ciudadana y nadie los responde.Les recuerdo que las Municipalidades trabajan para las personas en base a sus mismos impuestos, y la Municipalidad de Lampa es lo que menos hace. Calles en mal estado, aceras en mal estado, poca seguridad, etc. Sra. Alcaldesa renuncie. no necesitamos mas incompetentes en el gobierno. "
89,Lenovo,Mala atención servicio al cliente,2019-10-18,"El dia 9 de octubre 2019 realice la comprar de un Notebook Lenovo Ideapad S540 en la pagina www.lenovo.cl,contra todo pronostico el dia Lunes 14 de Octubre llego un notebook, una vez que lo reviso me doy cuenta que lenovo envio un notebook totalemente diferente al que yo compre, desde ese dia estoy tratando de que me den alguna respuesta por parte de la empresa, ya que dijieron que irian a buscar el pc erroneo y me traerian el que efectivamente compre.He intentado comunicarme por telefono, correo, pagina web, instagram y Twitter, y no hay una respuesta satisfactoria o en algunos casos nisiquiera me contestaron. "
90,Bancoestado,La app no funciona ,2019-10-18,"Llevo dos días tratando de realizar una transferencia desde la aplicación y no me lo permite, se queda cargando hasta que se agota el tiempo de inicio de sesión. Esto no es primera vez que su sede, ya que hace algunas semanas me sucedió lo mismo. "
91,Correos chile ,Envío retenido ,2019-10-18,"Desde hace una semana que me contacté con Correos de Chile, después de esperar demasiado en espera y con operadores que me dan información diferente cada vez que llamo, primero me dicen que llevarán mi pedido a la sucursal más cercana entre 2-3 días hábiles, luego me dicen que entre 3-5 días hábiles y la tercera vez que llame me dicen que fueron a mi domicilio y que “alguien” les dijo que yo ya no residía en el lugar, suceso prácticamente imposible, es primera vez que tengo este problema con mi dirección, además de que la corroboré antes del envío. "
92,Derco ,Pésimo servicio post venta,2019-10-18,"Vehículo Jac j4 con ruido al frenar, el cual comenzó a ser audible al momento de llevarlo a servicio técnico el 31 de agosto. Desde ese tiempo he pasado de taller en taller sin tener solución a mi problema. Le he mando correos a los representantes de la marca y se comprometen a dar solución, la que nunca llego, por lo que decidí presentarme con ellos y explicarle la situación. Me pidieron que mandara un mail con mi disponibilidad para ingresarlo a taller por sexta vez, cosa que hice delante de uno de ellos. El mail narraba que tenía disponibilidad ayer u hoy, pero aún no tengo respuesta de su parte. El ruido molesto sigue y ellos no se han preocupado de llamar o escribir cuando puede entrar el vehículo al taller. "
93,Adidas chile,Demora en reembolso por compra internet,2019-10-18,"El día 21/07/2019 se realizo la compra de 2 artículos en la pagina de reebok, la que adidas es dueña, a los días llego la compra, al momento de desembalarla una zapatilla venia defectuosa, al día siguiente se devolvió para hacer uso del la devolución por fallas. Hasta ese punto no hay ningún problema sino que hasta el día de hoy 18/10/2019 no se ha realizado la devolución del dinero por ese articulo, contactándome a soporte pude saber que ya esta en la sección de finanzas y que de ahí no se ha hecho el pago, la orden dicen que a pasado a prioridad pero ya son mas de 60 días cuando en la pagina esta estipulada dentro de 20 días.sin mas solución no me quedo mas que dejar registrado este abuso que esperando una experiencia agradable de compra haya terminado de esta manera esperando y casi 3 meses una devolución de dinero que segun soporte debería demorar 25 dias hábiles . "
94,Dhl ecommerce   correso de chile,Sin seguimiento de pedido,2019-10-18,"tengo pedido que llego a pais de destino el dia 17 de septiembre por empresa DHL eCommerce que ya no presta servicios en chile, por ende me dijieron que preguntara a correos nacional.  y ellos me piden el numero de seguimiento el cual tengo pero es de 50 digitos el cuel no pueden rastrear,     6HU777FQB6QOSD147O7EXK63ELLEGADA AL PAÍS [ PAÍS DE DESTINO - LAS ACTUALIZACIONES DE SEGUIMIENTO PUEDEN TERMINAR AQUÍ, SE ENTREGARÁN EN CORTO PLAZO ]Martes 17 de septiembre de 2019 a la 1:00 a.m.SANTIAGO LCA, CL. "
95,Claro chile ,No me llega el equipo,2019-10-18,"Hola compre un equipo el día 10 de octubre aun no me dan ninguna respuesta algún seguimiento nada, me dicen que no hay información, hable a la pagina y me dicen que llegaría el 17 de octubre nunca llego, ahora me dijieron que hoy y aun nada, no dan ninguna respuesta concreta me dicen que valla a la sucursal tampoco dan ninguna respuesta, ya no se donde reclamar exigo una respuesta concreta o la devolución del dinero. "
96,Correos de chile,No traen envíos casa,2019-10-18,A pesar de que la mayoría de mis compras por aliexpress son con cobro en envío (y algunas casi 5 mil pesos) los productos tengo que ir a retirarlos yo a la sucursal con el coste que esto conlleva y tiempo perdido en las interminables colas que dan prioridad a haitianos más encima 
97,Buses bio bio ,No se detiene en los paraderos ,2019-10-18,"En el trayecto santa Juana hacia Concepción, conductor de la máquina. No se detiene en los paraderos indicados para él abordo de más pasajeros, ignorándolo y continuar el recorrido, considerando que si hay capacidad para más pasajeros ( asientos) "
98,Abcdin,Compra realizada y no despachada,2019-10-18,"En el cyberday, realicé 4 compras en Abcdin. Sólo 1 Compra fue despachada, las 3 compras restantes se negaron a enviarlas debido a que era 'solo un producto por cliente', cuando en las bases decía 'solo un producto por boleta'. Las boletas fueron emitidas y yo exijo mis productos.Boletas: Nº 99992767, fecha 08­/10­/2019 Nº 99993517, fecha 08/10/2019 Nº 99994581, fecha 08/10/2019 "
99,194469489,Compra de equipo,2019-10-18,"Hola realizo una compra el día 10 de octubre online en claro chile, lo cual el dinero se descontó al tiro de mi cuenta, pero llamo y me dicen que no hay ninguna información y no me dan ninguna respuestta, despues hable a la pagina de facebook claro chile el cual me dicen que llegara el día 17 de octubre y que se contactaran con migo, nunca me llamaron nunca llego el teléfono y aun espero y nada.Ingreso este reclamo por que no se ya mas donde reclamar y llamar y sigo sin respuestas. "
100,Claro,Mala señal y mal servicio tecnico,2019-10-18,"llevo mas de una semana sin señal de cable, he llamado en reiteradas ocasiones y me dicen que ira un tecnico, lo cual no sucede y quedo a la espera, por un servicio que ya esta pagado, el técnico se digno a aparecer un dia y resulta que solo fue a mirar los deco, no realizo cambio de antena como se pidio desde un principio, por tanto tuve que reagendar la hora y el dia de la 2da visita el tecnico no se aparecio.llamo todos los dias y solo dan excusas de verdad es un pesimo servicio, fuera de eso me ofrecieron un descuento hace ya 4 meses el cual no se aplico, cuando llame para reclamar recien me dieron la excusas que en mi próxima boleta se veria reflejado el descuento, cosa que no ha sucedido "
101,Presto,Atención área de riesgos,2019-10-18,"Hace un mes aproximadamente mi tarjeta Presto fue bloqueada por supuestos movimientos irregulares, situación que nunca me fue informada y de la cual me enteré indirectamente al tratar de usarla. El proceso para desbloquearla duró del orden de dos semanas esperando una carta con el detalle de los movimientos irregulares para firmarla y aceptarlos como requisito para el desbloqueo, situación que al consultar reiteradamente en el mesón de asistencia a clientes del Líder de Espacio Urbano La Dehesa nunca supieron con claridad indicarme el tiempo que transcurriría para el envío de la carta, reiterando que el problema no era de ellos. Finalmente al llegar la carta acudí a firmarla y estampar mi huella digital, lo que hice sin problemas ya que los movimientos irregulares no eran tales. Al enviar por correo electrónico la carta al centro de análisis de riesgo de la tarjeta esta fue rechazada por supuesta firma disconforme con la del carnet de identidad que se adjuntó, aunque había firmado en presencia del ejecutivo de Atención y validado mi huella dactilar. Producto de esta pésima Atención decidí cerrar la tarjeta, situación que al parecer no le importó a los ejecutivos de atención, a pesar de haber sido cliente por muchos años, nunca haber dejado de pagar mis compromisos dentro de los plazos, y efectuar compras importantes todos los meses. Finalmente la tarjeta se cerró quedando con la sensación clara de que los clientes no le importan a esta empresa y que las supuestas políticas de retención y calidad de Atención no son mas que propaganda sin respaldo alguno. "
102,Consorcio,Consorcio responde de manera exigua a daños de tercero,2019-10-18,"Hola, el día 17 de septiembre fui victima de un choque. Yo no tengo seguro para mi vehículo, pero el culpable del accidente si tiene seguro en Consorcio, por lo que diligentemente aviso del siniestro a Consorcio.Consorcio resuelve el tema compensando monetariamente mediante un procedimiento en el cual un liquidador (en este caso Mauricio Hetzel) ve fotos y hace una propuesta monetaria de indemnización.Realizar cotización por los arreglos en concesionario de la marca y la reparación de los daños es por $2.035.346.-Mi vehículo no tenia ningún choque anterior, por lo que tenia piezas y pintura original, lo que conlleva una perdida de valor cuando lo quiera vender que estimo en $1.000.000.-Además, debido a que tengo que enviar el vehículo a taller, voy a tener que arrendar auto de reemplazo, el cual el más barato, similar, va a tener un costo de $343.937.-Por lo tanto el daño es por lo menos de $3.379.283.-La propuesta de Consorcio es por $1.182.640.-Debido a que es insuficiente, no puedo aceptar la propuesta de compensación, ya que compensa un tercio del daño causado.Recomiendo que todos conozcan que Consorcio no responde como se debe a daños a terceros, tal como comprometen cuando venden e indican en su póliza. "
103,Mercadolibre.cl,Demora en la llegada del producto,2019-10-18,Compre una soldadora y tenia fecha de entrega entre el 10 y 11 de octubre pero no llego luego me llego un correo diciendo ke llegaria entre el 14 y 16 de octubre porke tenia un retrazo en la entrega pero  estamos a 18 y aun no llega nesecito una solucion a este problema 
104,Bookig,Me envíen mis puntos lanpass por reserva,2019-10-18,"Necesito que envíen a mi registro, mis millas lanpass, por concepto de reserva en viaje a Perú- Tacna, en el Hostal Silpay tres días 0.1 al 03 de septiembre de este año. "
105,Salcobrand,,2019-10-18,"Hice una compra onlyne en salcobrand nunca llego me contacte con atencion al cliente me tramitaron varios dias.Hoy cancele el pedido ya aburrida de esperar solucion ,espero el descuento a fin de mes del pedido.Por que no voy a pagar un producto que no recibe.Pesima atencion. "
106,Tur bus,Bus falla mecanica ,2019-10-18,Bus falla mecanica corte de correa de motor viernes 11 /10/19salida desde taltal a serena llego con 30 minuto de retraso y despues quedo tirado en carretera antes de llegar a chañaral mejor dicho 4oometro  chofer no tenia numero d agencias se le informo y no asepto queria esperar 8 horas hasta q llegara un mecanico desde taltal y para trasportar pasajeros habia q esperar desde arica un bus q biniera desocupado pedi devolucion o embarque en otro bus y fue una negativa y que solo sele pasaba el bus para conducir  asi pasamos 3 horas en plena panpa sin ninguna solucion como dijo el chofer arregleselas solita 
107,Claro chile,Internet móvil,2019-10-18,"Compré una bolsa de Internet móvil de $7.000.- que incluyen 6 Gb pero el Internet no me llega, han pasado dos días y nada.Esta es 5ta vez que sucede lo mismo cuando compro bolsas de internet!. "
108,"Siena, indesa",No cumplimiento post venta,2019-10-18,"En el departamento de Vista Ñuñoa, me quedaron de cambiar el horno y la campana,  Ambos llegaron en junio, pero pese a varios correos enviados a post venta nunca los vinieron a instalar.Finalmente lo hice yo a mi costo entregando los usados.Pésimo servicio de post venta.No recomiendo comprar nada a SIENA "
109,Dafiti,Pedido anulado por falta de stock,2019-10-18,Mi pregunta es que pasa con el dinero ya depositado 
110,Rappi,Cobro desconocido,2019-10-18,"Tengo un Cobro desconodio el día 17/10/2019 por 3.990 efectuado a las 6 AM (ver Imagen). No pedí nada a esa hora, por lo que desconozco ese cobro. Espero una respuesta de Rappi en torno a este item. "
111,Correoschile,Paquete sigue en origen desde septiembre.,2019-10-18,"Correos tiene un Paquete con código de seguimiento 12883200007000214255700001 en planta de origen desde hace mas de un mes. Lo normal siempre es una o dos semanas, pero esto ya es demasiado.Así que espero que hagan algo, porque era un regalo para alguien. (incluso el Paquete está a su nombre) "
112,Abcdin,No cumple fecha de despacho,2019-10-18,"No cumplen con la fecha de entrega y el call center dice no tener acceso a los estados de los despachos de la tienda de Viña del Mar, no hay un número de teléfono para solicitar información, pesimo, de verdad no se puede entender que un empresa de ese tamaño tenga tan mala gestión de los despachos, recursos tienen y si no mejoran su gestión, su prestigio (si es que les importa) cada vez empeora mas, estos servicios muchas veces hacen la diferencia y mantienen y captan clientes, yo por lo menos la próxima compra no la haré en ABCDIN, el producto que compre es de primeta necesidad y la demora me genera perjuicio económico ya que tengo mercaderia que necesito refrigerar por que el anterior refrigerador se hecho a perder. "
113,Celeste salon de belleza temuco,Publicidad engañosa ,2019-10-18,compre un groupon con la oferta de visos+corte de puntas+ masaje por 14990. Llame al numero publicado para agendar hora y me sale la señora CELESTE que tengo que pagar 10000 extra por la atencion porque a ella no le sale a cuenta atender gente por esa compra en groupon. Le dije que no deberia ser asi porque es publicidad engañosa poner un precio en una pagina y despues obligar a la gente a terminar de pagar el precio real en la atencion y me dijo que ese era problema mio que yo iba a perder. Le dije que pediria mi devolucion y ella dijo que ella no haria devolucion de nada porque si no no me atendia y pagaba diferencia yo perdia todo.... menos mal groupon me devolvio en creditos mi compra. Deberian sacar a esta señora y a su peluqueria de la pagina y de sus ofertas porque no las respeta para nada. 
114,Banco estado,,2019-10-18,"con fecha 05 de octubre en la cartola de mi cuenta rut aparece una compra en la pagina ASTROPAY la cual no fue realizada por mi siendo la titular de la cuenta. por ende, hice un reclamo en banco estado, el cual dice que no es responsable debido a que para hacer una compra en linea necesitan de mis contraseñas personales y esa es mi responsabilidad. hice la apelación a la respuesta de ese reclamo y aún no tengo solución. la  *****a  asciende a  $ 354.604 "
115,Travel,Compra enytradas cine,2019-10-18,He compardo entradas al cine Hoyts con mis dolares premio.   Me llega la factura por la compra pero no el correo con los codigos para canjear las entradas.Llamo al fono 600 y nada.  me dicen van a llamar y no lo hacen.  Para que llamar si solo deben mandar un correo con los codigos.Pésimo servicio 
116,Particular,Retiro de basura,2019-10-18,"Estimados junto con saludar consulta por no Retiro de basura en mi hogar pasa recolector y no retira basura de contenedor,mi direccion es 9 1/2 nirte c 3836 parque las rastras ya una semana.938806667AtteSaludosJohn Bruning I. "
117,Hospital higueras talcahuano,Insensibilidad y mal trato,2019-10-18,"El día 12 de Octubre nuestro familiar Rosa Escalona Rifo run 4057743-2 de 85 años fue derivada desde el hospital de Lirquén hacia hospital higueras Talcahuano dado que este tiene mayor resolución, en dicho centro la tuvieron 27 horas sentada en una silla de ruedas con una vía y le volvieron a repetir los mismos exámenes, ella tiene gratuidad de atención debido a un oscuro pasado de nuestra historia. Viendo el trato denigrante y vejatorio la retiramos del hospital y la llevamos al sistema privado un doctor vio los exámenes y el diagnóstico fue intervención quirúrgica a la brevedad. Se nos a olvidado la dignidad y el respeto del ser humano. La moraleja y comicidad que va a ser operada en el hospital público regional de Concepción, el aparato del estado debía velar por su integridad. Se debió ocupar sus ahorros que son su subsistencia y que sirven para comprar remedios cuando el cesfam no se los provee. Los adultos mayores se empobrecen y endeuda y este es uno de los motivos. La rabia y la desazón nuestra es evidente. Dirección del hospital, no la riqueza de un país está en la niñez, educación, salud y nuestros adultos mayores que han forjado nuestro país. Espero respuesta y comentarios del director del hospital, y politicos "
118,Comité y administración comunidad nueva catedral,Irregularidades de cobros ggcc y falta mantención espacios comunes,2019-10-18,"Junto con saludar, extiendo mis reclamos, a nombre de mi hija copropietaria de uno de los departamentos de Torre B, que junto con otros copropietarios están aburridos del aumento en gastos comunes de la nada, y que no necesariamente refleja estas subidas en los gastos, una mejor mantención en los espacios comunes y que estén cumpliendo con sus deberes tanto empleados, como Administración Martelli y Comité de Administración de fiscalizar que se terminen con los ""arriendos turísticos"" que están teniendo lugar de fines del 2017 a la fecha. Con respecto a esto, varios copropietarios enviaron copias de aviso en su oportunidad, incluso la Inspección Municipal ha ido 3 veces a la Comunidad pero mayordomo no lo ha dejado entrar, y por tanto, no han podido cursar multas ni clausurar los departamentos que quebrantan Ley de copropiedad y nuestro Reglamento interno donde se ratificó en abril de este año, que todos los copropietarios presentes rechazaban este tipo de arriendos en Asamblea de esa oportunidad.También se adjunta copia de documento donde Inmobiliaria, pagó 500 UF en junio 2018 para destinar esos fondos para los espacios comunes, de los cuales no se han ocupado para nada y los espacios a 2 años de la inauguración del edificio permanecen deteriorados y sucios.La mayoría de los copropietarios reclaman por un nuevo Comité de Administración y también cambiar a Martelli a la brevedad, son muchas irregularidades y los gastos comunes han subido una enormidad este año de 80 mil a 100 mil pesos.Favor requerimos explicaciones con documentación correspondiente y llamado a Asamblea pàra cambiar todo "
119,Lex australis abogados,"Por falta de profesionalismo, malas prácticas y conflicto de intereses.",2019-10-18,"Quiero hacer un reclamo a la Empresa Lexaustralis Abogados.cl, principalmente al Abogado Iván Igor Santos por falta de profesionalismo, malas prácticas como profesional, conflicto de intereses y abuso de poder.Este estudio jurídico donde trabajan familiares, Abogado Iván Igor, su pareja Marcela Mendoza, Abogado Ricardo Igor (Primo de Iván Igor) y el abogado Hernán Hidalgo.Dirección Morandé N°322 OF 405 Santiago Centro. Correo electrónico [email protected], Teléfonos de contacto +56971420151 y +56966466761.Quiero hacer público la forma de trabajar del abogado Iván Igor Santos, presento una demanda a mi hermano, para perjudicarlo en su trabajo, mando un correo masivo a toda la empresa con las causas de mi hermano con la intención de que perdiera su trabajo.Hay que informar que dicha demanda se pone en duda por los conflictos de intereses, ya que el estudio judicio está compuesto por familiares y hacen una demanda a un familiar por conflictos familiares no resueltos.Esto quiere decir que Estudio Jurídico inhabilita a todos los abogados del estudio ( art 88)Cuestiono la falta de profesionalismo, consulte en su Estudio si se podía proceder de dicha manera en publicar datos personales de causas y en enviar sus causas a toda la empresa. El Abogado Hernán Hidalgo informo que dicha información es publica por ello yo también, y se puede informar los datos personales a nivel público. Dado el abuso de poder para hacer daño y perjudicar a mi hermano en su trabajo, procedo en delatar a dicho “Abogado”.Ingresé al portal https://oficinajudicialvirtual.pjud.cl/indexN.php y me encontré que el abogado Iván Igor Santos tiene más 20 causas civiles, con que moral el viene mandar correos perjudicando a mi hermano en su empresa.También hay que informar que ingrese su nombre en Google y aparece una demanda realizada al Ministerio de Educación, dicha demanda el desistió y otra demanda que fue rechazada hacia la Tesorería General de La República.Comento que pondo también en duda sus curiculum vitae ya que menciona dudosos cursos en el extranjero.Abogado Iván Igor Santos que el año 2018 dio su examen de grado en la Universidad de Las Américas, “en que tiempo realizo dichos cursos”Perfeccionamientos relevantes en Derecho:Curso Derecho del trabajo / Universidad de Valencia, España.Curso Contract Law: From Trust to Promise to Contract / Harvard University.Curso Derecho del trabajo/ CNAM, Paris, Francia.Curso General Data Protection Regulation / Groningen University.Curso contralores ciudadanos / Contraloría general de la República de Chile.Curso Introducción en Derechos humanos / U. Diego Portales.Micro máster en Derechos humanos / Universidad de Lovaina, Bélgica.Dicho reclamo se realizará en el Colegio de Abogados de Chile y en todos los medios para desenmascarar al Abogado Iván Igor Santos.Informo a la sociedad que cuando contraten los servicios de un abogado, investiguen con que clase de profesional se están vinculando. "
120,Tienda paris,Acoso  por pagos,2019-10-18,Reclamo por el continuo llamado de deuda con esta tienda .Yo estoy con una licencia muy conplicada esdemasido el acoso de llamadas cuatro o masllamadas por deuda .Yo ya no doy mas de nervios por esta situacionayer hice un abono y no se conforman con eso .Hasta cuando me acosan  yo los voy a denunciar por redes sociales y es mas llegare mas hayaMargarita. 
121,Bco consorcio,Lamala atencion con sus clientes,2019-10-18,"Ustedes llaman al Consorcio para solucionar un problema ej la actuliacacion de tu direccion yo soy una persona discapacitada y me obligan a concurrr al centro el otro gran detalle que en tu liquidacion depension nunca viene por lo indica la luiquidacion de pension ej 235,400 pero te encuentras con otro saldo con una al comision por giro realizado que manera de robar a los pensionado "
122,Claro,No me llega teléfono comprado,2019-10-18,"Buenos días, compre un teléfono (HUAWEI PSMART2019) via internet a la Empresa Claro el 09 de Octubre del 2019 y el Numero del pedido es: 432976508853. Llame y escribí por Messenger y me dijeron que me iban a contactar, y que me llegaba el 16, después que el 17 y ya hoy es 18 y nunca me han llamado!.Necesito saber cuando me van hacer entrega de mi compra y me den una respuesta de verdad!.Gracias.- "
123,Wom,Ejecutiva se enoja porque no me interesa servicio,2019-10-18,"Hoy en dos oportunidades me llamó una ejecutiva de wom que no quiso dar su nombre desde el numero 930902601 (11:03 am) y al indicarle que no me interesaba se enojó y me increpó porque dijo que era de ""buena educacion"" escucharla y creo que esa no es la forma de responder, ya que le indiqué claramente que no me interesaba con un gracias incluido, pero esta persona definitivamente no sirve para convencer a nadie con su tono irónico y mala educación, ya que al preguntarle su nombre simplemente me cortó. Así se amparan estas empresas, en el anonimato para que nadie reclame por el mal rato. "
